Order,Question,Question Pre,Answer,Hint (Lat/Lon),Hint (Type),Hint (Title),Hint (Singer),Hint (Lyricist),Hint (Lyrics),Hint (Year),Hint (Photo),Photo Attribution,Note
11,ＸＸＸ下,歌名,太平山,"22.27598218109887, 114.14580418531429",山,,黃耀明,林夕,,,,,
12,留住半邊ＸＸ因你在,歌詞,青山,"22.409791453822898, 113.97365324738686",山／政府建築,,何韻詩,黃偉文,,2008,https://upload.wikimedia.org/wikipedia/commons/a/a2/Castle_Peak_Hospital_202106.jpg,"Wpcpey, CC BY 4.0 <https://creativecommons.org/licenses/by/4.0>, via Wikimedia Commons",
13,咁又係既 ＸＸ邊有一日唔塞架？,歌詞,紅隧,"22.295813, 114.181379",隧道,巴士光年,吳林峰,T-Rexx ,,2020,,,
14,由荃灣直入ＸＸ終站坐冷板,歌詞,柴灣,"22.26509510553496, 114.2373269117592",地鐵站,當荃灣愛上ＸＸ,陳奕迅,Eric Kwok,,1999,https://upload.wikimedia.org/wikipedia/commons/7/7c/Chai_Wan_Station%282%29.jpg,"cs1669, CC BY-SA 3.0 <https://creativecommons.org/licenses/by-sa/3.0>, via Wikimedia Commons",
15,ＸＸＸ落日終要歸去,歌詞,流浮山,"22.468887986285353, 113.98127621465697",區,我在ＸＸＸ滴眼水,Serrini,Serrini,,2014,https://assets.wmoov.com/movie/photo/202201/FAA07_1641225282.jpg,電影《緣路山旮旯》劇照,
16,遊覽過百貨店舖 朝聖過氣派ＸＸ,歌詞,半島,"22.294734, 114.171856",酒店,黃昏點唱機,容祖兒,林若寧,,2016,,,
17,聽講ＸＸＸ飲早茶開好早,歌詞,大帽山,"22.394804424909466, 114.10826472880437",山,跟住去邊度,黃子華,黃子華,,,,,
18,於ＸＸ 她更覺得窮困,歌詞,國金,"22.285311144800854, 114.159253599402",樓宇,浮雲,謝安琪,林若寧,,,,,
19,ＸＸＸ街地上有著光點閃閃,歌名,詩歌舞,"22.325258, 114.163733",街,,My Little Airport,林阿p,,,"https://zh.wikipedia.org/wiki/%E8%A9%A9%E6%AD%8C%E8%88%9E%E8%A1%97#/media/File:Sycamore_Street,_Tai_Kok_Tsui_part_1_in_April_2022.jpg",,
20,痊癒了的美穗 跟她死黨迫到ＸＸＸ一醉,歌詞,蘭桂坊,"22.280890, 114.155218",景點,廢城故事,梁漢文,林夕,,,,,
21,ＸＸＸ話我哋會出名,歌詞,黃大仙,"22.342438505486694, 114.1934770630136",區,終於出歌,FINALLY,Nic Tsui、FINALLY,,,https://upload.wikimedia.org/wikipedia/commons/c/cb/Fashionwalk_03082017_R2.jpg,"Chong Fat, Public domain, via Wikimedia Commons",
22,穿過鴨脷洲大橋 掟個彎就到ＸＸＸ,歌詞,黃竹坑,"22.248945, 114.168117",區,香港仔,新青年理髮廳,新青年理髮廳,,,,,
23,ＸＸＸＸ內分手 時代門外再聚,歌詞,黃金廣場,"22.27991103706526, 114.1842959029889",商場,黃金時代,陳奕迅,林夕,,,,,
24,入睡前面前是ＸＸ 聽得見低格的音樂,歌詞,旺角,"22.320496301207296, 114.17023708501738",區,街口有落,Shine,黃偉文,,,,,
25,重返ＸＸＸ 未踏破高踭鞋 你已經遷徙,歌詞,擺花街,"22.282520, 114.153743",街,2月14的約會,林嘉欣,林若寧,,,https://upload.wikimedia.org/wikipedia/commons/3/32/Chinese_Street%2C_Hong_Kong%2C_prepared_for_illumination_Wellcome_V0036693.jpg,"See page for author, CC BY 4.0 <https://creativecommons.org/licenses/by/4.0>, via Wikimedia Commons",
26,路過ＸＸＸ 當它冰島札幌,歌詞,希雲街 ,"22.277693, 114.187182",街,神奇之旅,許廷鏗,許廷鏗、于逸堯,,,https://www.hkmemory.hk/MHK/collections/hkplaces/AllItems/images/201107/W020110722852477614819.jpg,,
27,潛入ＸＸＸＸ看不見四周,歌詞,嶺南之風,"22.334470450301396, 114.13925708228462",公園,麥記最後一夜,My Little Airport,林阿p,,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTbQOZzp00SOUx6RZR2F5n61MOr3cFBGhTatg&s,MLA facebook,
28,真與假 住進ＸＸ寫意喝啖茶,歌詞,山頂,"22.268033593253378, 114.15342965675644",景點,圍城,KOLOR,劉卓輝,,,,,
29,ＸＸＸSusie,歌名,尖沙咀,"22.29442703594042, 114.16849564437607",區,,許冠傑,許冠傑、黎彼得,屋企多靚衫,,,,
30,ＸＸＸ無人便吻死,歌詞,北果洲,"22.268502954019635, 114.34932790063012",島,四角戀,李克勤,陳少琪,,,https://www.discoverhongkong.com/content/dam/dhk/intl/explore/great-outdoors/wellness/routes/ung-kong-group/south-and-north-ninepin-islands-960x720-b.jpg,Hong Kong Tourism Board,
31,回望那ＸＸＸ還是會牽掛,歌詞,獅子山,"22.345030, 114.186590",山,睜開眼,RubberBand,RubberBand、Tim Lui,,,,,
32,ＸＸＸ落雪了,歌名,北京道,"22.29626905346676, 114.1700086672222",街,,林二汶,周耀輝,,2012,https://upload.wikimedia.org/wikipedia/commons/7/7a/HK_TST_%E5%B0%96%E6%B2%99%E5%92%80_Tsim_Sha_Tsui_%E5%8C%97%E4%BA%AC%E9%81%93_Peking_Road_Hankow_Road_Metropole_Building_night_December_2021_Px3.jpg,"Goobaidarmz Lim, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons",
33,舊車站唔再用 但係個ＸＸ仍然喺度,歌詞,鐘樓,"22.293586632817348, 114.16955590661397",景點,香港地,陳冠希 Feat.陳奐仁 胡蓓蔚 Mc仁,MC仁、陳少琪、陳奐仁,,2004,,,
34,ＸＸ都變古跡 金璧失色,歌詞,珍寶,"22.243413404596073, 114.16221962319888",景點（已消失）,抗氧化組合,野佬 Yellow!,梁栢堅,,2022,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTWzOa7yowUbfL0vWq8hkyOZ97DfwYSItodFA&s,網上圖片,
,ＸＸ之中 那燭光下 那一臉憤慨 風化失去,歌詞,維園,"22.282049, 114.190359",公園,下落不明,達明一派,黃偉文,,2003,,,
,ＸＸ中看見你天天都帶本小說同樣搭上車去,,星街,"22.275836, 114.168920",街,叮叮車,薛凱琪,林若寧 ,,2009,,,
